recto,verso,archival_object_id,,note: completed rows removed from this tab
bv73cb472,bv73cb48b,249284,,
bv73cb39c,bv73cb383,249280,,
bv73cb447,bv73cb43z,249282,,
bv73cb24r,bv73cb23g,249273,,
bv73cb85g,bv73cb846,249301,,
bv73cb81c,bv73cb803,249299,,
ws859m77w,ws859m785,245134,,
bv73cb579,bv73cb561,249288,,
bv73cb17b,bv73cb162,249270,,
bv73cb92w,bv73cb91m,249304,,
bv73cb61w,bv73cb60m,249290,,
bv73cb30w,bv73cb294,249276,,
bv73cb668,bv73cb650,249292,,
ws859m963,,247849,,
bv73cb28v,bv73cb27k,249275,,
bv73c815c,bv73c8143,247790,,
bv73c8118,bv73c8100,248480,,
bv73c861g,bv73c8606,255047,,
bv73c824b,bv73c8232,247794,,
bv73c844t,bv73c843j,247803,,
bv73c857w,bv73c856m,248481,,
bv73c8207,bv73c8097,247764,,
bv73c890x,bv73c8895,245105,,
bv73c874j,bv73c8738,245102,,
bv73cb90b,bv73cb89k,249303,,
bv73cb226,bv73cb21x,249272,,
bv73cb63f,bv73cb625,249291,,
bv73cb55r,bv73cb54g,249287,,
bv73cb269,bv73cb251,249274,,
bv73cb70v,bv73cb693,249294,,
bv73cb77s,bv73cb76h,249297,,
ws859p21f,ws859p22q,248150,,
ws859t375,ws859t36w,248721,,
ws859g16b,ws859g152,252875,,
ws859w793,ws859w78t,255209,,
ws859x72c,ws859x74x,255088,,
ws859r34x,ws859r33n,248515,,
ws859m32j,,249349,,
ws859m318,,249348,,
ws859m49q,,249339,,
ws859k109,ws859k09j,247829,,
ws859x02p,ws859x03z,255182,,
ws859q24g,ws859q28k,252915,,
ws859x24q,ws859x225,251492,,
ws85bb429,ws85bb40r,,,
ws85bb080,ws85bb06f,,,
ws859p80m,ws859p81w,251456,,
ws859m432,,249336,,
ws85b826h,ws85b8168,,,
ws859s82s,ws859s939,248707,,
ws859t41r,ws859t421,248723,,
ws85b274x,ws85b2934,254348,,
ws85b508z,ws85b507p,255133,,
ws85bb93s,ws85bb92h,,,
ws859h56h,ws859h57s,243672,,
ws85b633h,ws85b6327,251500,,
ws85b4287,ws85b192n,248085,,
ws85b398q,ws85b1971,248523,,
ws859h069,ws859h051,251109,,
ws859s433,ws859s44c,245343,,
ws859p59c,ws859p583,249408,,
ws85b376p,ws85b1458,254363,,
ws859k21t,ws859k20j,245108,,
ws85b9708,ws85b971j,,,
ws859n10q,,247862,,
ws859j68h,ws859j66z,254308,,
ws85b422k,ws85b2136,248732,,
ws859q47s,,254336,,
ws859m95t,,247850,,
ws859q792,ws859q77h,251476,,
ws85b975n,ws85b974c,,,
ws859h97r,ws859h956,252881,,
ws859g91w,ws859g89v,249329,,
ws85b524b,ws85b5232,255215,,
ws85b1084,ws85b267h,255583,,
ws859t439,ws859t44k,248725,,
ws859h17t,ws859h16j,252863,,
ws859v559,,248069,,
ws859m66c,,250583,,
ws85bb46d,ws85bb454,,,
ws85b215r,ws85b214g,248733,,
ws859j456,ws859j46g,255545,,
ws85bc55k,ws85bc52r,,,
ws85b4600,ws85b453k,,,
ws859m60q,ws859m59z,255546,,
ws85bb80q,ws85bb79z,,,
ws859m67n,,250584,,
ws859k355,ws859k33m,245110,,
ws859j44x,ws859j43n,254304,,
ws85b389r,ws85b177j,254386,,
ws859m90f,,247846,,
ws85bc549,ws85bc531,,,
ws85bb00s,,,,
ws859n40f,,,,
ws85bc816,ws85bc82g,,,
ws85b831c,ws85b8303,,,
ws85b6352,ws85b634s,251501,,
ws859r01c,ws859r003,251485,,
ws85b381j,ws85b159m,254374,,
ws859p451,ws859p469,248514,,
ws859g640,ws859g63q,249317,,
ws859n01r,,247856,,
ws859s01k,ws859s02v,248049,,
ws859j481,ws859j47r,245113,,
ws85b5118,ws85b5100,255134,,
ws85b478f,ws85b4775,251504,,
ws859j588,ws859j56q,245115,,
ws859w83p,ws859w84z,255210,,
ws859k37q,ws859k36f,254285,,
ws859p29n,ws859p17v,254323,,
ws859f88c,ws859f873,252868,,
ws85b407g,ws85b2225,249425,,
ws859t39q,ws859t40g,248722,,
ws859m15w,,247872,,
ws859s54m,ws859s55w,252934,,
ws859s63k,ws859s64v,252936,,
ws859r03x,ws859r02n,251486,,
ws859m44b,,249337,,
ws859j73c,ws859j723,247827,,
ws85b522s,ws85b521h,249615,,
ws85b967z,ws85b966p,,,
ws859r488,ws859r51k,248509,,
ws859j04z,ws859h93n,250532,,
ws859r21v,ws859r20k,248053,,
ws85b4821,ws85b481r,251506,,
ws859v17w,ws859v206,245337,,
ws85b4201,ws85b2909,254371,,
ws85b7846,ws85b783x,,,
ws85b562r,ws85b561g,245381,,
ws859q83n,,251450,,
ws859f716,ws859f72g,245808,,
ws859q30m,ws859q31w,254328,,
ws85b7871,ws85b786r,,,
ws859v983,ws859v99c,255109,,
ws859k87x,ws859k886,254288,,
ws859n064,,245139,,
ws859x713,ws859x70t,255087,,
ws859j189,ws859j19k,252891,,
ws85bc000,ws85bb99f,,,
ws85bc91f,ws85bc905,,,
ws859m64t,,245130,,
ws85b119n,ws85b118c,245370,,
ws859r089,ws859r071,254342,,
ws859k24n,ws859k23c,245109,,
ws859w69v,ws859w80v,255177,,
ws859w971,ws859w989,255180,,
ws85b6220,ws85b621q,249436,,
ws859x692,ws859x68s,255086,,
ws859h39v,ws859h38k,255544,,
ws859v26v,ws859v274,248066,,
ws85bc15m,ws85bc14b,,,
ws859m33t,,245149,,
ws859k907,ws859k89g,245825,,
ws859w46j,ws859w572,255177,,
ws859p273,ws859p28c,248153,,
ws85b7782,ws85b777s,,,
ws859j25q,ws859j235,254296,,
ws859x52w,ws859x535,255081,,
ws859j92k,ws859j919,249332,,
ws85b851v,ws85b850k,,,
ws859q68j,ws859q678,255680,,
ws859m73s,,250758,,
ws859h28b,ws859h272,254278,,
ws85b497n,ws85b496c,254392,,
ws859x33p,ws859x34z,255070,,
ws859m122,,245144,,
ws859w24h,ws859w262,255189,,
ws859h50v,ws859h493,254294,,
ws859r28s,ws859r267,248056,,
ws85b489z,ws85b488p,251509,,
ws85b416f,ws85b250b,254350,,
ws859k576,ws859k56x,250534,,
ws859n306,ws859m407,247887,,
ws859h22p,ws859h671,247826,,
ws859h61c,ws859h603,247823,,
ws859r399,ws859r381,254325,,
ws85b4376,ws85b436x,245376,,
ws859r37r,ws859q279,251448,,
ws859p34h,ws859p35s,248156,,
ws859q350,ws859q34q,254330,,
ws859s034,ws859r92t,249399,,
