id,model,children,archival_object_id,has_finding_aid_1,identifier_1,institution_1,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility
j3860n05q,Image,j3860n04f,247674,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b216_00831_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh99005337,http://id.loc.gov/authorities/subjects/sh85098119,,,,,,,"American Inn under construction, Washington Park. (recto)",open
k3569923v,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b220_H00147_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85127595,http://id.loc.gov/authorities/subjects/sh85087089,http://id.loc.gov/authorities/subjects/sh85098119,,,,,,,PH037_b220_H00147_print (verso),open
df737b44s,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b161_AG00068_neg,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85002415,http://id.loc.gov/authorities/subjects/sh85072248,,,,,,,,PH037_b161_AG00068_neg,open
df738g50x,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b194_14682,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85049144,http://id.loc.gov/authorities/subjects/sh85115443,http://id.loc.gov/authorities/subjects/sh85097741,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,PH037_b194_14682,open
df737g85v,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b171_62685,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85117150,http://id.loc.gov/authorities/subjects/sh85120429,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85137241,,,,,,PH037_b171_62685,open
gb19fj09j,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b229_S01110_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85074366,http://id.loc.gov/authorities/subjects/sh85087823,http://id.loc.gov/authorities/subjects/sh85028740,http://id.loc.gov/authorities/subjects/sh95008818,http://id.loc.gov/authorities/subjects/sh85114250,,,,,PH037_b229_S01110_print,open
df7378319,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b167_74909,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85048481,http://id.loc.gov/authorities/subjects/sh96000830,http://id.loc.gov/authorities/subjects/sh98007384,,,,,,,PH037_b167_74909,open
kp78h464r,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b214_R00130_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85026255,http://id.loc.gov/authorities/subjects/sh85099135,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh95005321,,,,,,PH037_b214_R00130_print (verso),open
df735353z,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b156_S00518,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85074392,http://id.loc.gov/authorities/subjects/sh85114487,http://id.loc.gov/authorities/subjects/sh85114559,,,,,,PH037_b156_S00518 Angelus Studio Photographs,open
df72ck826,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b127_F00057,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85116821,,,,,,,,,PH037_b127_F00057 Angelus Studio Photographs,open
