id,model,children,archival_object_id,has_finding_aid_1,identifier_1,institution_1,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility,
jm215773z,Image,jm215586m,252835,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b218_33520_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85076918,http://id.loc.gov/authorities/subjects/sh85114487,http://id.loc.gov/authorities/subjects/sh85093871,,,,,,,PH037_b218_33520_print (recto),open,
df738c445,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b188_Z00996,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114027,http://id.loc.gov/authorities/subjects/sh85062144,http://id.loc.gov/authorities/subjects/sh85062160,,,,,,,PH037_b188_Z00996,open,
df737789h,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b166_82637,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85139704,http://id.loc.gov/authorities/subjects/sh85136516,http://id.loc.gov/authorities/subjects/sh94006849,,,,,,,Union Labels,open,
k3569665r,Image,k3569664g,243651,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b220_03884_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85103538,http://id.loc.gov/authorities/subjects/sh85100163,http://id.loc.gov/authorities/subjects/sh85062160,,,,,,,PH037_b220_03884_print (recto),open,
df71fv65d,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b026_B00520,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85122320,http://id.loc.gov/authorities/subjects/sh2004000703,http://id.loc.gov/authorities/subjects/sh85025854,http://id.loc.gov/authorities/subjects/sh85025876,http://id.loc.gov/authorities/subjects/sh85025567,http://id.loc.gov/authorities/subjects/sh85025877,,,,"Westminster Presbyterian Church, 16th and Schuyler St., Portland. Stone building with tower, large stained glass window in foreground. Power lines overhead.",open,
df71zt238,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b063_LS00051,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85002415,http://id.loc.gov/authorities/subjects/sh85055494,http://id.loc.gov/authorities/subjects/sh85005169,http://id.loc.gov/authorities/subjects/sh85077784,http://id.loc.gov/authorities/subjects/sh85047836,http://id.loc.gov/authorities/subjects/sh85038908,,,,PH037_b063_LS00051 Angelus Studio Photographs,open,
df71g743t,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b046_Z01291,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85107145,http://id.loc.gov/authorities/subjects/sh85047623,http://id.loc.gov/authorities/subjects/sh85124049,,,,,,,Community Chest official opening.,open,
df737n270,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b178_B01019,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85041783,http://id.loc.gov/authorities/subjects/sh85005927,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,,PH037_b178_B01019,open,
n870zr94k,Image,n870zr95v,248415,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b213_28946_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85122412,http://id.loc.gov/authorities/subjects/sh85026130,http://id.loc.gov/authorities/subjects/sh85101264,http://id.loc.gov/authorities/names/n87836032,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85016829,http://id.loc.gov/authorities/subjects/sh85049274,http://id.loc.gov/authorities/subjects/sh85017769,,PH037_b213_28946_print (recto),open,
df737b34j,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b161_AG00258,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85094794,http://id.loc.gov/authorities/subjects/sh85094798,http://id.loc.gov/authorities/subjects/sh85002415,,,,,,,PH037_b161_AG00258,open,
jm2157683,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b218_25469_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85010201,http://id.loc.gov/authorities/subjects/sh85114487,http://id.loc.gov/authorities/subjects/sh85074030,,,,,,,Roosevelt Highway near Devils Lake (verso),open,
df737777q,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b166_02359,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85093871,http://id.loc.gov/authorities/subjects/sh85040193,http://id.loc.gov/authorities/names/n2002117083,,,,,,,PH037_b166_02359,open,
n870zz180,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b227_B01464_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85118278,http://id.loc.gov/authorities/subjects/sh85017709,http://id.loc.gov/authorities/subjects/sh85042494,,,,,,,PH037_b227_B01464_print (verso),open,
jm215b33m,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b219_R00031_print_copy1_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85078097,http://id.loc.gov/authorities/subjects/sh85110904,http://id.loc.gov/authorities/subjects/sh85078804,,,,,,,PH037_b219_R00031_print_copy1 (verso),open,
k3569c89c,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b220_Z00401_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85136296,,,,,,,,PH037_b220_Z00401_print (verso),open,
df737g93j,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b171_63209,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85123295,http://id.loc.gov/authorities/subjects/sh85031345,http://id.loc.gov/authorities/subjects/sh85041783,http://id.loc.gov/authorities/subjects/sh85137241,http://id.loc.gov/authorities/subjects/sh85123681,http://id.loc.gov/authorities/subjects/sh85035583,,,Phoenix Utility Co.,open,
k35699996,Image,k3569997n,247722,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b220_07136_print_copy1,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85062487,http://id.loc.gov/authorities/subjects/sh85078077,,,,,,,,PH037_b220_07136_print_copy1 (recto),open,
