id,model,archival_object_id,has_finding_aid_1,identifier_1,institution_1,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility
df72cq48q,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b139_S00578,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85028740,http://id.loc.gov/authorities/subjects/sh85074392,http://id.loc.gov/authorities/subjects/sh85114749,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh87003234,http://id.loc.gov/authorities/subjects/sh96009624,http://id.loc.gov/authorities/subjects/sh85114487,,,PH037_b139_S00578 Angelus Studio Photographs,open
df734x762,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b149_LS00258,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85077784,http://id.loc.gov/authorities/subjects/sh85047299,http://id.loc.gov/authorities/subjects/sh85131235,http://id.loc.gov/authorities/subjects/sh85002415,,,,,,PH037_b149_LS00258 Angelus Studio Photographs,open
df738d68z,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b190_74421_copy2,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85121770,http://id.loc.gov/authorities/subjects/sh85049168,http://id.loc.gov/authorities/subjects/sh85090214,,,,,,,Views of Portland and Flood,open
ws859p80m,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b231_R00032_print_copy2,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85111077,http://id.loc.gov/authorities/subjects/sh85110904,http://id.loc.gov/authorities/subjects/sh85077999,http://id.loc.gov/authorities/subjects/sh85111063,,,,,,PH037_b231_R00032_print_copy2 (recto),open
df738n118,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b208_74522,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85016829,http://id.loc.gov/authorities/names/n2010039979,http://id.loc.gov/authorities/subjects/sh85034369,http://id.loc.gov/authorities/subjects/sh85026130,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85121591,http://id.loc.gov/authorities/subjects/sh85146781,,,USS Chicago' under St. Johns Bridge.,open
df737692m,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b165_81318,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85133906,http://id.loc.gov/authorities/subjects/sh85133890,http://id.loc.gov/authorities/subjects/sh85083510,,,,,,,PH037_b165_81318,open
bv73c974r,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b221_46566_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85100163,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85011609,http://id.loc.gov/authorities/subjects/sh85010201,,,,,,PH037_b221_46566_print (verso),open
df734t52v,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b144_H00546,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85130766,http://id.loc.gov/authorities/subjects/sh85095018,http://id.loc.gov/authorities/subjects/sh85130799,http://id.loc.gov/authorities/subjects/sh85062285,http://id.loc.gov/authorities/subjects/sh85101610,,,,,"St. Vincent's Hospital. First operation 1875. Sisters Andrew and Alfred; Anges Johnson; Doctors A.D. Bell, Tucker, J.A. Kane, Dickson, K.A.J. McKenzie.",open
df735501m,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b159_T00302,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85078097,http://id.loc.gov/authorities/subjects/sh85135386,http://id.loc.gov/authorities/subjects/sh85078814,http://id.loc.gov/authorities/subjects/sh85078096,,,,,,Large trees.,open
df738r72m,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b201_46946,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85075339,http://id.loc.gov/authorities/subjects/sh85040193,http://id.loc.gov/authorities/subjects/sh85016793,,,,,,,PH037_b201_46946,open
df71gv93r,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b020_B00206,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,http://id.loc.gov/authorities/subjects/sh85033456,,,,http://id.loc.gov/authorities/subjects/sh85062487,http://id.loc.gov/authorities/subjects/sh85061115,http://id.loc.gov/authorities/subjects/sh2003012017,http://id.loc.gov/authorities/subjects/sh85100163,http://id.loc.gov/authorities/subjects/sh91004510,http://id.loc.gov/authorities/subjects/sh85036301,http://id.loc.gov/authorities/subjects/sh85114745,http://id.loc.gov/authorities/subjects/sh85048564,http://id.loc.gov/authorities/subjects/sh85083595,Interior of Cloud Cap Inn. 3 men and 3 women seated to right of stone fireplace.,open
