id,model,children,archival_object_id,date_1,has_finding_aid_1,identifier_1,institution_1,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,local_collection_id_1,location_1,location_2,location_3,photographer_1,photographer_2,repository_1,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility,
gb19fh84w,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b228_Z01537_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85046354,http://id.loc.gov/authorities/subjects/sh85127595,http://id.loc.gov/authorities/subjects/sh85046356,http://id.loc.gov/authorities/subjects/sh85017143,,,,,,PH037_b228_Z01537_print,open,
kp78hj052,Image,kp78hj04s,254232,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b215_SH00184_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85121591,http://id.loc.gov/authorities/subjects/sh85038703,,,,,,,,PH037_b215_SH00184_print (recto),open,
df720008h,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b082_S00027,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,https://sws.geonames.org/5711789/,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85016086,http://id.loc.gov/authorities/subjects/sh85114749,http://id.loc.gov/authorities/subjects/sh85090277,,,,,,,PH037_b082_S00027 Angelus Studio Photographs,open,
ws85b4465,Image,,,1910,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b235_S00358_print_v,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,https://sws.geonames.org/5735940/,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85050707,http://id.loc.gov/authorities/subjects/sh85074392,http://id.loc.gov/authorities/subjects/sh85087823,http://id.loc.gov/authorities/subjects/sh85061891,,,,,,PH037_b235_S00358_print (verso),open,
df71g7507,Generic,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b046_Z01298,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,Harley Davidson Motor Company,"Motorcycles, racing",,,,,,,,,,,,PH037_b046_Z01298 Angelus Studio Photographs,open,
ws85b5339,Image,ws85b5321,250765,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b236_Z00461_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85023418,http://id.loc.gov/authorities/subjects/sh85008657,http://id.loc.gov/authorities/subjects/sh95008187,http://id.loc.gov/authorities/subjects/sh85105182,,,,,,PH037_b236_Z00461_print (recto),open,
df734w154,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b146_S00872_neg,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85074392,http://id.loc.gov/authorities/subjects/sh85019838,http://id.loc.gov/authorities/subjects/sh85114250,,,,,,,PH037_b146_S00872_neg Angelus Studio Photographs,open,
n870zv22z,Image,n870zv21p,254073,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b213_Z01617_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85121591,http://id.loc.gov/authorities/subjects/sh85082013,http://id.loc.gov/authorities/subjects/sh85145756,http://id.loc.gov/authorities/subjects/sh85114250,,,,,,Intercoastal Line (recto),open,
df737g81r,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b171_62431,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85035583,http://id.loc.gov/authorities/subjects/sh85137241,http://id.loc.gov/authorities/subjects/sh85041783,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85123295,,,,,Phoenix Utility Co.,open,
jm214p51f,Image,jm214p49d,244919,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b217_07019_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85100163,http://id.loc.gov/authorities/subjects/sh85049144,http://id.loc.gov/authorities/subjects/sh85097741,,,,,,,PH037_b217_07019_print (recto),open,
