id,model,children,archival_object_id,has_finding_aid_1,identifier_1,institution_1,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility,
df71fq895,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b011_BR00102,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85016829,http://id.loc.gov/authorities/subjects/sh85016890,http://id.loc.gov/authorities/subjects/sh85146781,,,,,,PH037_b011_BR00102 Angelus Studio Photographs,open,
df71zz518,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b080_R00148,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85033547,http://id.loc.gov/authorities/subjects/sh85019978,http://id.loc.gov/authorities/subjects/sh85026299,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85108620,,,,,PH037_b080_R00148 Angelus Studio Photographs,open,
ws859s04d,Image,ws859s05p,248050,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b231_B00853_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85041783,http://id.loc.gov/authorities/subjects/sh85048306,http://id.loc.gov/authorities/subjects/sh85128633,http://id.loc.gov/authorities/subjects/sh85011609,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85114555,,,,PH037_b231_B00853_print (recto),open,
df735498h,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b159_T00295_copy2,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85078812,http://id.loc.gov/authorities/subjects/sh85078097,http://id.loc.gov/authorities/subjects/sh85133951,http://id.loc.gov/authorities/subjects/sh85062160,,,,,,Lumber camp.,open,
kp78hh021,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b215_76672_print_v,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85128633,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,,,"Moore Court Apts., SE 20th & Madison St, Portland, OR.  (verso)",open,
ws859n23s,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b225_00862_print_v,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85048575,http://id.loc.gov/authorities/subjects/sh85011833,,,,,,,PH037_b225_00862  (verso),open,
ws859q20c,Image,ws859q21n,251474,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b231_R00545_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85077999,http://id.loc.gov/authorities/subjects/sh85110904,http://id.loc.gov/authorities/subjects/sh85111063,http://id.loc.gov/authorities/subjects/sh85111042,http://id.loc.gov/authorities/subjects/sh85110958,,,,,PH037_b231_R00545_print (recto),open,
df7201129,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b087_S00148,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85137241,http://id.loc.gov/authorities/subjects/sh85090277,http://id.loc.gov/authorities/subjects/sh94007041,http://id.loc.gov/authorities/subjects/sh85146781,http://id.loc.gov/authorities/subjects/sh85062569,http://id.loc.gov/authorities/subjects/sh85114250,,,,PH037_b087_S00148 Angelus Studio Photographs,open,
bv73cb889,Image,bv73cb871,249302,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b222_H00164_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,,,,,,,,,,PH037_b222_H00164_print (recto),open,
df71g720h,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b045_20576,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85117150,,,,,,,,PH037_b045_20576 Angelus Studio Photographs,open,
df71fq56m,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b009_AM00132,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85062160,http://id.loc.gov/authorities/subjects/sh85043973,,,,,,,,PH037_b009_AM00132 Angelus Studio Photographs,open,
df72cr44t,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b141_22871,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85063396,http://id.loc.gov/authorities/subjects/sh85065835,http://id.loc.gov/authorities/subjects/sh85105986,http://id.loc.gov/authorities/subjects/sh97005010,http://id.loc.gov/authorities/subjects/sh85063399,http://id.loc.gov/authorities/subjects/sh85046823,http://id.loc.gov/authorities/subjects/sh85138717,http://id.loc.gov/authorities/names/no2012108048,,PH037_b141_22871 Angelus Studio Photographs,open,
ws85b212x,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b234_F00041_print_copy2_v,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh2008020108,http://id.loc.gov/authorities/subjects/sh85028740,http://id.loc.gov/authorities/subjects/sh85048866,http://id.loc.gov/authorities/subjects/sh85048686,http://id.loc.gov/authorities/subjects/sh85062160,,,,PH037_b234_F00041_print_copy2 (verso),open,
df71g972p,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b054_H00042,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85085548,http://id.loc.gov/authorities/subjects/sh85040193,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85085603,http://id.loc.gov/authorities/subjects/sh85078077,,,,,PH037_b054_H00042 Angelus Studio Photographs,open,
df738t29r,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b203_45355,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85134522,http://id.loc.gov/authorities/subjects/sh85122412,http://id.loc.gov/authorities/subjects/sh85034333,http://id.loc.gov/authorities/subjects/sh88004738,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh93000645,,,,PH037_b203_45355,open,
df71fq029,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b007_AG00431,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114559,http://id.loc.gov/authorities/subjects/sh85047218,http://id.loc.gov/authorities/subjects/sh85020461,http://id.loc.gov/authorities/subjects/sh85146396,http://id.loc.gov/authorities/subjects/sh85010984,http://id.loc.gov/authorities/subjects/sh85144807,http://id.loc.gov/authorities/subjects/sh85146366,http://id.loc.gov/authorities/subjects/sh85136466,,PH037_b007_AG00431 Angelus Studio Photographs,open,
df738c18j,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b183_02458,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85102058,http://id.loc.gov/authorities/subjects/sh85056231,http://id.loc.gov/authorities/subjects/sh85087168,,,,,,,PH037_b183_02458,open,
bv73cb82n,Image,bv73cb83x,249300,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b222_H00149_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,,,,,,,,,,Frances W. Pettygrove (recto),open,
