id,model,children,archival_object_id,has_finding_aid_1,identifier_1,institution_1,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility,
n870zt142,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b213_59448_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85087168,http://id.loc.gov/authorities/subjects/sh85138148,http://id.loc.gov/authorities/subjects/sh85121591,http://id.loc.gov/authorities/subjects/sh85038703,http://id.loc.gov/authorities/subjects/sh85081274,,,,,Motorship 'Portland' at Terminal No. 1 (verso),open,
df71g5645,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b039_B00896,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/names/n2014040430,,,,,,,,"YWCA building, Broadway and Stark, Portland. Large auto parked in background.",open,
ws859g44h,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b223_BR00084_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85016829,http://id.loc.gov/authorities/subjects/sh85114487,,,,,,,PH037_b223_BR00084 (recto),open,
ws859h39v,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b224_50352_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85041237,http://id.loc.gov/authorities/subjects/sh85035459,http://id.loc.gov/authorities/subjects/sh85122412,http://id.loc.gov/authorities/subjects/sh85010201,,,,,,PH037_b224_50352 (recto),open,
ws859f76k,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b223_S00231_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh2017003013,http://id.loc.gov/authorities/subjects/sh85137241,http://id.loc.gov/authorities/subjects/sh85074030,http://id.loc.gov/authorities/subjects/sh85074392,,,,,,PH037_b223_S00231 (verso),open,
df71g832h,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b049_CT00094,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85114245,http://id.loc.gov/authorities/subjects/sh85026130,,,,,,,PH037_b049_CT00094 Angelus Studio Photographs,open,
ws85bb365,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b239_094r_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85075742,http://id.loc.gov/authorities/subjects/sh85033556,http://id.loc.gov/authorities/subjects/sh85015738,http://id.loc.gov/authorities/names/n79115343,,,,,,PH037_b239_094r (verso),open,
ws85b990r,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b239_072r,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85034333,http://id.loc.gov/authorities/subjects/sh85083510,http://id.loc.gov/authorities/subjects/sh85021504,,,,,,,PH037_b239_072r (verso),open,
kp78hj57t,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b215_Z00410_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85038703,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85121591,,,,,,,"Oregon Pacific Co., 2 Steamships at Municipal Terminal #1 (verso)",open,
df72cs042,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b141_09737,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh00006584,http://id.loc.gov/authorities/subjects/sh85046823,http://id.loc.gov/authorities/subjects/sh85065869,http://id.loc.gov/authorities/subjects/sh85065835,http://id.loc.gov/authorities/subjects/sh85134373,http://id.loc.gov/authorities/subjects/sh87002489,http://id.loc.gov/authorities/subjects/sh85134394,http://id.loc.gov/authorities/subjects/sh85134356,http://id.loc.gov/authorities/subjects/sh94005535,PH037_b141_09737 Angelus Studio Photographs,open,
